x0	g(gal)		
-145.5357158	0.080040553		0.156113111
-137.8056105	0.148389369		0.17201781
-129.5767886	0.227164277		0.19165139
-120.3505338	0.237590367		0.217727041
-111.8723538	0.268868639		0.246390713
-104.1422484	0.308256093		0.277411768
-94.91599365	0.337217456		0.322095276
-85.19102239	0.398615545		0.380723536
-75.46605114	0.449587544		0.454795567
-69.23209521	0.500559542		0.512550673
-61.00327338	0.588602085		0.603999397
-53.27316802	0.690546083		0.708743653
-45.05767365	0.811924025		0.843354859
-37.52165795	0.930959382		0.989384022
-29.60884147	1.101635078		1.163493665
-23.5465476	1.289353482		1.305253063
-12.57822802	1.491533756		1.545766918
-11.51677774	1.572077117		1.565464784
-7.624793375	1.670701641		1.62848399
0.159175355	1.782476102		1.69836976
5.466426763	1.670701641		1.694771737
15.72711282	1.481671304		1.574926854
33.06413408	1.210453863		1.193222799
39.43283577	1.001698621		1.049501351
49.33970506	0.860336803		0.85161258
55.23718387	0.708313604		0.751408021
62.44473104	0.597669439		0.646273161
72.47262276	0.517598003		0.527839481
86.26097387	0.418600592		0.406631753
102.5562979	0.338529156		0.307031655
111.9574464	0.299221361		0.264445913
130.1330001	0.227884991		0.202888088
141.4143783	0.208959015		0.174540006
